Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Aseprite,Aseprite,AsepriteFile,"ConvertBytesToPixels(byte[] bytes, Color[] pixels, Color[] palette)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,17,13,0,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,3,0,0,0,9,0
Long Method,Aseprite,Aseprite,AsepriteImporter,"Import(string filename, ContentImporterContext context)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,0,0,0,0,0
Long Method,Aseprite,Aseprite,AsepriteProcessor,"Process(AsepriteFile input, ContentProcessorContext context)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,0,0,0,0,0
Long Method,Aseprite,Aseprite,AsepriteReader,"Read(ContentReader input, AsepriteFile existingInstance)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,13,0,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,3,2.2142857142857144,0,0,0
Long Method,Aseprite,Aseprite,AsepriteWriter,"Write(ContentWriter output, ProcessedAseprite value)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,2,3,2.0869565217391304,0,0,0
Long Method,Aseprite,Aseprite,AsepriteWriter,GetRuntimeType(TargetPlatform targetPlatform),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Long Method,Aseprite,Aseprite,AsepriteWriter,GetRuntimeReader(TargetPlatform targetPlatform),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Long Method,Aseprite,Aseprite,AudioImporter,Load(string filename),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,2,15,0,0,0,0,0,2,0,0,15,13,0,0,0,0,1,2,2,0,0,0
Long Method,Aseprite,Aseprite,AudioImporter,"Import(string filename, ContentImporterContext context)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,2,15,0,0,0,0,0,2,0,0,15,13,0,0,0,0,2,0,0,1,0,0
Long Method,Aseprite,Aseprite,AudioProcessor,"Process(AudioFile input, ContentProcessorContext context)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,0,0,0,0,0
Long Method,Aseprite,Aseprite,AudioReader,"Read(ContentReader input, AudioFile existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,2,2,0,0,0
Long Method,Aseprite,Aseprite,AudioWriter,GetRuntimeType(TargetPlatform targetPlatform),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Long Method,Aseprite,Aseprite,AudioWriter,GetRuntimeReader(TargetPlatform targetPlatform),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,1,0,0,0,0,0
Long Method,Aseprite,Aseprite,AudioWriter,"Write(ContentWriter output, AudioFile value)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,3,15,0,0,0,0,0,3,0,0,15,13,0,0,0,0,2,2,2,0,0,0
Long Method,Aseprite,Aseprite,Calc,"IsBitSet(uint b, int pos)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,1,15,0,0,0,0,0,1,0,0,15,13,0,0,0,0,2,0,0,0,0,0
Long Method,BurningKnight,BurningKnight.assets,CommonAse,Load(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1354,2771,0,5064,0,0,0,0,0,1,0,0,26,10,0,0,0,0,0,2,2,0,0,0
Long Method,BurningKnight,BurningKnight.assets,Dialogs,"RegisterCallback(string id, Func<Dialog, DialogComponent, Dialog> callback)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1354,2771,3,5064,0,0,0,0,0,5,0,0,26,10,0,0,0,0,2,2,2,1,0,1
Long Method,BurningKnight,BurningKnight.assets,Dialogs,Load(),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1354,2771,3,5064,0,0,0,0,0,5,0,0,26,10,0,0,0,0,0,3,2.25,1,0,1
Long Method,BurningKnight,BurningKnight.assets,Dialogs,ParseNode(ImNode node),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1354,2771,3,5064,0,0,0,0,0,5,0,0,26,10,0,0,0,0,1,2,2,1,0,1
