Code Smell,Project,Package,Class,Method,Method,Class,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Movies,Movie,"RefreshSpecialFeatures(MetadataRefreshOptions options, List<FileSystemMetadata> fileSystemChildren, CancellationToken cancellationToken)","RefreshSpecialFeatures(MetadataRefreshOptions options, List<FileSystemMetadata> fileSystemChildren, CancellationToken cancellationToken)",Movie,0,3,2,2,0,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.TV,Series,BeforeMetadataRefresh(bool replaceAllMetadata),BeforeMetadataRefresh(bool replaceAllMetadata),Series,0,1,2,2,0,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.TV,Series,"FilterEpisodesBySeason(IEnumerable<BaseItem> episodes, Season parentSeason, bool includeSpecials)","FilterEpisodesBySeason(IEnumerable<BaseItem> episodes, Season parentSeason, bool includeSpecials)",Series,0,3,2,2,2,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.TV,Series,"GetEpisodes(User user, DtoOptions options)","GetEpisodes(User user, DtoOptions options)",Series,0,2,2,2,1,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.TV,Series,GetRelatedUrls(),GetRelatedUrls(),Series,0,0,2,2,0,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Extensions,StringExtensions,RemoveDiacritics(this string text),RemoveDiacritics(this string text),StringExtensions,0,1,2,2,2,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.LiveTv,LiveTvProgram,GetNameForMetadataLookup(),GetNameForMetadataLookup(),LiveTvProgram,0,0,2,2,1,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,GetBitStreamArgs(MediaStream stream),GetBitStreamArgs(MediaStream stream),EncodingHelper,0,1,0,0,3,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,"GetFixedSizeScalingFilter(Video3DFormat? threedFormat, int requestedWidth, int requestedHeight)","GetFixedSizeScalingFilter(Video3DFormat? threedFormat, int requestedWidth, int requestedHeight)",EncodingHelper,0,3,2,2,0,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,"GetGraphicalSubtitleParam(EncodingJobInfo state, EncodingOptions options, string outputVideoCodec)","GetGraphicalSubtitleParam(EncodingJobInfo state, EncodingOptions options, string outputVideoCodec)",EncodingHelper,0,3,2,2,5,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,"GetHardwareAcceleratedVideoDecoder(EncodingJobInfo state, EncodingOptions encodingOptions)","GetHardwareAcceleratedVideoDecoder(EncodingJobInfo state, EncodingOptions encodingOptions)",EncodingHelper,0,2,3,2.4634146341463414,14,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,"GetProgressiveAudioFullCommandLine(EncodingJobInfo state, EncodingOptions encodingOptions, string outputPath)","GetProgressiveAudioFullCommandLine(EncodingJobInfo state, EncodingOptions encodingOptions, string outputPath)",EncodingHelper,0,3,4,2.5,3,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,IsH264(MediaStream stream),IsH264(MediaStream stream),EncodingHelper,0,1,2,2,0,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,IsH265(MediaStream stream),IsH265(MediaStream stream),EncodingHelper,0,1,2,2,0,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingHelper,NormalizeSubtitleEmbed(EncodingJobInfo state),NormalizeSubtitleEmbed(EncodingJobInfo state),EncodingHelper,0,1,2,2,0,0,6
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingJobInfo,"GetMediaStreamCount(MediaStreamType type, int limit)","GetMediaStreamCount(MediaStreamType type, int limit)",EncodingJobInfo,0,2,2,2,0,3,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingJobInfo,GetRequestedLevel(string codec),GetRequestedLevel(string codec),EncodingJobInfo,0,1,2,2,0,3,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.MediaEncoding,EncodingJobInfo,GetRequestedVideoBitDepth(string codec),GetRequestedVideoBitDepth(string codec),EncodingJobInfo,0,1,2,2,0,3,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Net,BasePeriodicWebSocketListener,Start(WebSocketMessageInfo message),Start(WebSocketMessageInfo message),BasePeriodicWebSocketListener,0,1,3,2.2,0,1,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Net,BasePeriodicWebSocketListener,Stop(WebSocketMessageInfo message),Stop(WebSocketMessageInfomessage),BasePeriodicWebSocketListener,0,1,2,2,1,1,1
