Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Core2D,Core2D,App,SetTheme(ThemeName themeName),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,308,1298,10,1786,0,0,0,0,0,11,0,0,107,101,0,0,0,0,1,0,0,0,0,0
Long Method,Core2D,Core2D,App,SetTheme(string themeName),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,308,1298,10,1786,0,0,0,0,0,11,0,0,107,101,0,0,0,0,1,2,2,0,0,0
Long Method,Core2D,Core2D.Converters,HexToColorConverter,"Convert(object value, Type targetType, object parameter, CultureInfo culture)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,308,1298,2,1786,0,0,0,0,0,2,0,0,16,15,0,0,0,0,4,2,2,0,0,0
Long Method,Core2D,Core2D.DragAndDrop,ContextDropBehavior,OnDetaching(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,308,1298,3,1786,0,0,0,0,0,6,0,0,27,18,0,0,0,0,0,2,2,0,0,0
Long Method,Core2D,Core2D.DragAndDrop,ContextDropBehavior,"DragEnter(object sender, DragEventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,308,1298,3,1786,0,0,0,0,0,6,0,0,27,18,0,0,0,0,2,3,3,0,0,0
Long Method,Core2D,Core2D.DragAndDrop,TypedDragBehavior,"AssociatedObject_PointerReleased(object sender, PointerReleasedEventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,308,1298,3,1786,0,0,0,0,0,6,0,0,27,18,0,0,0,0,2,2,2,0,4,4
Long Method,Core2D,Core2D.DragAndDrop,TypedDragBehavior,"AssociatedObject_PointerMoved(object sender, PointerEventArgs e)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,308,1298,3,1786,0,0,0,0,0,6,0,0,27,18,0,0,0,0,2,2,2,1,4,4
Long Method,Core2D,Core2D.Editor,AvaloniaInputSource,"GetPointerReleasedObservable(Control target, Control relative, Func<Point, Point> translate, MouseButton button)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,308,1298,5,1786,0,0,0,0,0,5,0,0,466,373,0,0,0,0,4,3,2.25,0,0,2
Long Method,Core2D,Core2D.Editor,AvaloniaProjectEditorPlatform,OnSaveAs(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,308,1298,8,1786,0,0,0,0,0,37,0,0,466,373,0,0,0,0,0,3,2.4,1,0,1
Long Method,Core2D,Core2D.Editor,AvaloniaProjectEditorPlatform,OnImportData(ProjectContainer project),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,308,1298,8,1786,0,0,0,0,0,37,0,0,466,373,0,0,0,0,1,4,2.4166666666666665,1,0,1
