Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetUserItems(BaseItem item, StubType? stubType, User user, SortCriteria sort, int? startIndex, int? limit)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,6,2,2,12,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetMovieFolders(BaseItem item, User user, StubType? stubType, SortCriteria sort, int? startIndex, int? limit)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,6,0,0,7,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetMovieFavorites(BaseItem parent, User user, InternalItemsQuery query)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,3,2,2,1,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetGenres(BaseItem parent, User user, InternalItemsQuery query)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,3,3,2.3333333333333335,1,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetMusicAlbumArtists(BaseItem parent, User user, InternalItemsQuery query)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,3,3,2.3333333333333335,1,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ControlHandler,"GetFavoriteArtists(BaseItem parent, User user, InternalItemsQuery query)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,84,148,19,318,0,0,0,0,0,51,0,0,65,31,0,0,0,0,3,3,2.3333333333333335,1,0,13
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ServiceActionListBuilder,GetX_GetFeatureListAction(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,148,9,318,0,0,0,0,0,9,0,0,65,31,0,0,0,0,0,3,3,0,0,0
Long Method,Emby.Dlna,Emby.Dlna.ContentDirectory,ServiceActionListBuilder,GetSearchAction(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,148,9,318,0,0,0,0,0,9,0,0,65,31,0,0,0,0,0,3,3,0,0,0
Long Method,Emby.Dlna,Emby.Dlna.Didl,DidlBuilder,"GetItemDidl(BaseItem item, User user, BaseItem context, string deviceId, Filter filter, StreamInfo streamInfo)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,84,148,10,318,0,0,0,0,0,30,0,0,31,10,0,0,0,0,6,2,2,2,0,16
Long Method,Emby.Dlna,Emby.Dlna,DlnaManager,InitProfilesAsync(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,84,148,7,318,0,0,0,0,0,26,0,0,29,10,0,0,0,0,0,2,2,2,0,8
