Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.AppBase,ConfigurationHelper,"GetXmlConfiguration(Type type, string path, IXmlSerializer xmlSerializer)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,217,775,1,1533,0,0,0,0,0,1,0,0,16,9,0,0,0,0,3,2,2,0,0,0
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,ExpandVirtualPath(string path),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,1,2,2,0,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,RunStartupTasksAsync(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,0,2,2,2,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,"OnConfigurationUpdated(object sender, EventArgs e)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,2,2,2,2,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,"GetSmartApiUrl(IPAddress ipAddress, int? port = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,2,3,2.1666666666666665,1,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,"GetSmartApiUrl(HttpRequest request, int? port = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,2,3,2.1666666666666665,0,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,"GetSmartApiUrl(string hostname, int? port = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,2,3,2.1666666666666665,1,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations,ApplicationHost,LaunchUrl(string url),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,217,775,19,1533,0,0,0,0,0,43,0,0,43,19,0,0,0,0,1,2,2,0,8,15
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Archiving,ZipClient,"ExtractAllFromGz(Stream source, string targetPath, bool overwriteExistingFiles)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217,775,9,1533,0,0,0,0,0,9,0,0,9,9,0,0,0,0,3,2,2,0,0,0
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Branding,BrandingConfigurationFactory,GetConfigurations(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217,775,1,1533,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Channels,ChannelDynamicMediaSourceProvider,"GetMediaSources(BaseItem item, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,217,775,1,1533,0,0,0,0,0,2,0,0,51,22,0,0,0,0,2,2,2,0,0,1
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Channels,ChannelManager,EnableMediaProbe(BaseItem item),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,217,775,15,1533,0,0,0,0,0,39,0,0,51,22,0,0,0,0,1,2,2,1,0,11
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Channels,ChannelManager,GetChannelsInternal(ChannelQuery query),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,217,775,15,1533,0,0,0,0,0,39,0,0,51,22,0,0,0,0,1,3,2.125,7,0,11
Long Method,Emby.Server.Implementations,Emby.Server.Implementations.Channels,ChannelManager,GetInternalChannelId(string name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,217,775,15,1533,0,0,0,0,0,39,0,0,51,22,0,0,0,0,1,2,2,0,0,11
