Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Jellyfin.Api,Jellyfin.Api.Auth.DefaultAuthorizationPolicy,DefaultAuthorizationHandler,"HandleRequirementAsync(AuthorizationHandlerContext context, DefaultAuthorizationRequirement requirement)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,148,1,606,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,2,0,0,0
Long Method,Jellyfin.Api,Jellyfin.Api.Auth.IgnoreParentalControlPolicy,IgnoreParentalControlHandler,"HandleRequirementAsync(AuthorizationHandlerContext context, IgnoreParentalControlRequirement requirement)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,148,1,606,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,2,0,0,0
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,ActivityLogController,"GetLogEntries([FromQuery] int? startIndex, [FromQuery] int? limit, [FromQuery] DateTime? minDate, [FromQuery] bool? hasUserId)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,176,148,0,606,0,0,0,0,0,1,0,0,450,64,0,0,0,0,4,2,2,0,0,1
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,ApiKeyController,GetKeys(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,3,0,0,450,64,0,0,0,0,0,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,CollectionController,"CreateCollection([FromQuery] string? name, [FromQuery, ModelBinder(typeof(CommaDelimitedArrayModelBinder))] string[] ids, [FromQuery] Guid? parentId, [FromQuery] bool isLocked = false)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,3,0,0,450,64,0,0,0,0,4,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,CollectionController,"RemoveFromCollection([FromRoute, Required] Guid collectionId, [FromQuery, Required, ModelBinder(typeof(CommaDelimitedArrayModelBinder))] Guid[] ids)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,3,0,0,450,64,0,0,0,0,2,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,ConfigurationController,"GetNamedConfiguration([FromRoute, Required] string key)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,1,606,0,0,0,0,0,6,0,0,450,64,0,0,0,0,1,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,ConfigurationController,"UpdateNamedConfiguration([FromRoute, Required] string key)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,1,606,0,0,0,0,0,6,0,0,450,64,0,0,0,0,1,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,DevicesController,"GetDeviceOptions([FromQuery, Required] string id)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,5,0,0,450,64,0,0,0,0,1,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,DevicesController,"UpdateDeviceOptions([FromQuery, Required] string id, [FromBody, Required] DeviceOptions deviceOptions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,176,148,0,606,0,0,0,0,0,5,0,0,450,64,0,0,0,0,2,2,2,0,0,3
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,DlnaServerController,"GetConnectionManager([FromRoute, Required] string serverId)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,176,148,5,606,0,0,0,0,0,16,0,0,450,64,0,0,0,0,1,2,2,0,0,4
Long Method,Jellyfin.Api,Jellyfin.Api.Controllers,DlnaServerController,"ProcessMediaReceiverRegistrarControlRequest([FromRoute, Required] string serverId)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,176,148,5,606,0,0,0,0,0,16,0,0,450,64,0,0,0,0,1,2,2,0,0,4
