Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Activity,ActivityManager,GetPagedResultAsync(ActivityLogQuery query),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53,49,1,114,0,0,0,0,0,4,0,0,4,1,0,0,0,0,1,3,2.076923076923077,0,0,1
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Events.Consumers.Library,SubtitleDownloadFailureLogger,GetItemName(BaseItem item),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,53,49,1,114,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,2,2,0,0,2
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Events.Consumers.Security,AuthenticationFailedLogger,OnEvent(GenericEventArgs<AuthenticationRequest> eventArgs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,53,49,0,114,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,2,0,0,2
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Events.Consumers.Session,PlaybackStopLogger,OnEvent(PlaybackStopEventArgs eventArgs),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,53,49,2,114,0,0,0,0,0,3,0,0,8,4,0,0,0,0,1,2,2,2,0,3
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Events.Consumers.System,TaskCompletedLogger,OnEvent(TaskCompletionEventArgs e),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,53,49,2,114,0,0,0,0,0,3,0,0,5,2,0,0,0,0,1,3,2.0833333333333335,1,0,2
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Events.Consumers.Users,UserPasswordChangedLogger,OnEvent(UserPasswordChangedEventArgs eventArgs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,53,49,0,114,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,2,2,0,0,2
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,"ChangePassword(User user, string newPassword)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,2,2,2,2,0,13
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,GetAuthenticationProviders(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,0,2,2,0,0,13
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,GetPasswordResetProviders(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,0,2,2,0,0,13
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,GetAuthenticationProviders(User? user),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,1,2,2,0,0,13
Long Method,Jellyfin.Server.Implementations,Jellyfin.Server.Implementations.Users,UserManager,GetPasswordResetProviders(User user),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53,49,7,114,0,0,0,0,0,30,0,0,49,14,0,0,0,0,1,2,2,0,0,13
