Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,Lidgren.Network,Lidgren.Network,NetBlockEncryptionBase,Decrypt(NetIncomingMessage msg),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,65,155,2,475,0,0,0,0,0,4,0,0,475,155,0,0,0,0,1,2,2,1,1,1
Long Method,Lidgren.Network,Lidgren.Network,NetCryptoProviderBase,"SetKey(byte[] data, int offset, int count)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,65,155,0,475,0,0,0,0,0,3,0,0,475,155,0,0,0,0,3,0,0,0,1,0
Long Method,Lidgren.Network,Lidgren.Network,NetCryptoProviderBase,Decrypt(NetIncomingMessage msg),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,65,155,0,475,0,0,0,0,0,3,0,0,475,155,0,0,0,0,1,2,2,0,1,0
Long Method,Lidgren.Network,Lidgren.Network,NetXtea,"DecryptBlock(byte[] source, int sourceOffset, byte[] destination)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65,65,155,3,475,0,0,0,0,0,5,0,0,475,155,0,0,0,0,3,0,0,4,0,6
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"Divide(int[] x, int[] y)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,2,2,2,14,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,Divide(NetBigInteger val),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,2,2,6,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"ModPow(NetBigInteger exponent, NetBigInteger m)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,2,3,2.090909090909091,20,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"FastExtEuclid(long a, long b, long[] uOut)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,3,0,0,0,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,Remainder(int m),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,2,2,0,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"Remainder(int[] x, int[] y)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,2,2,2,10,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,Remainder(NetBigInteger n),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,2,2,6,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,LastNBits(int n),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,3,2.5,0,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"ShiftRightInPlace(int start, int[] mag, int n)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,3,0,0,0,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,ShiftRight(int n),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,2,2,2,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,"Subtract(int xStart, int[] x, int yStart, int[] y)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,4,2,2,0,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,Subtract(NetBigInteger n),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,1,2,2,5,5,21
Long Method,Lidgren.Network,Lidgren.Network,NetBigInteger,ToByteArray(),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,65,155,21,475,0,0,0,0,0,62,0,0,475,155,0,0,0,0,0,0,0,1,5,21
