Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Common,MediaBrowser.Common.Extensions,HttpContextExtensions,IsLocal(this HttpContext context),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,97,2,118,0,0,0,0,0,2,0,0,12,11,0,0,0,0,1,4,4,0,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Extensions,ProcessExtensions,"WaitForExitAsync(this Process process, TimeSpan timeout)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,97,3,118,0,0,0,0,0,3,0,0,12,11,0,0,0,0,2,2,2,1,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Extensions,ProcessExtensions,"WaitForExitAsync(this Process process, CancellationToken cancelToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,97,3,118,0,0,0,0,0,3,0,0,12,11,0,0,0,0,2,3,2.1666666666666665,0,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Extensions,ProcessExtensions,HasExitedSafe(this Process process),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,97,3,118,0,0,0,0,0,3,0,0,12,11,0,0,0,0,1,0,0,0,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Json.Converters,JsonNullableStructConverter,"Write(Utf8JsonWriter writer, TStruct? value, JsonSerializerOptions options)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,97,2,118,0,0,0,0,0,2,0,0,26,24,0,0,0,0,3,2,2,0,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Json.Converters,JsonPipeDelimitedArrayConverter,"Read(ref Utf8JsonReader reader, Type typeToConvert, JsonSerializerOptions options)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,48,97,1,118,0,0,0,0,0,2,0,0,26,24,0,0,0,0,3,2,2,0,0,1
Long Method,MediaBrowser.Common,MediaBrowser.Common.Net,IPHost,IsIP6(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,48,97,5,118,0,0,0,0,0,13,0,0,49,39,0,0,0,0,0,0,0,1,2,2
Long Method,MediaBrowser.Common,MediaBrowser.Common.Net,IPHost,Remove(AddressFamily family),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,48,97,5,118,0,0,0,0,0,13,0,0,49,39,0,0,0,0,1,2,2,1,2,2
Long Method,MediaBrowser.Common,MediaBrowser.Common.Net,IPNetAddress,Parse(string addr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,48,97,7,118,0,0,0,0,0,9,0,0,49,39,0,0,0,0,1,0,0,1,1,1
Long Method,MediaBrowser.Common,MediaBrowser.Common.Net,NetworkExtensions,"AddItem(this Collection<IPObject> source, IPAddress ip)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,97,9,118,0,0,0,0,0,9,0,0,49,39,0,0,0,0,2,2,2,0,0,0
Long Method,MediaBrowser.Common,MediaBrowser.Common.Net,NetworkExtensions,"AddItem(this Collection<IPObject> source, IPObject item)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,97,9,118,0,0,0,0,0,9,0,0,49,39,0,0,0,0,2,2,2,0,0,0
