Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.BaseItemManager,BaseItemManager,"OnConfigurationUpdated(object sender, EventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,184,686,0,811,0,0,0,0,0,5,0,0,5,0,0,0,0,0,2,0,0,2,1,2
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Drawing,ImageProcessingOptions,HasDefaultOptions(string originalImagePath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,4,811,0,0,0,0,0,4,0,0,10,10,0,0,0,0,1,0,0,1,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Drawing,ImageProcessingOptions,"HasDefaultOptions(string originalImagePath, ImageDimensions? size)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,4,811,0,0,0,0,0,4,0,0,10,10,0,0,0,0,2,3,3,2,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities,AggregateFolder,FindVirtualChild(Guid id),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,184,686,3,811,0,0,0,0,0,11,0,0,369,322,0,0,0,0,1,2,2,0,2,4
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Audio,MusicAlbum,GetUserDataKeys(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,9,811,0,0,0,0,0,9,0,0,46,46,0,0,0,0,0,2,2,0,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Audio,MusicArtist,RequiresRefresh(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,17,811,0,0,0,0,0,17,0,0,46,46,0,0,0,0,0,2,2,1,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Audio,MusicArtist,BeforeMetadataRefresh(bool replaceAllMetdata),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,17,811,0,0,0,0,0,17,0,0,46,46,0,0,0,0,1,2,2,1,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Audio,MusicGenre,GetUserDataKeys(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,11,811,0,0,0,0,0,11,0,0,46,46,0,0,0,0,0,2,2,0,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities.Audio,MusicGenre,RequiresRefresh(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,184,686,11,811,0,0,0,0,0,11,0,0,46,46,0,0,0,0,0,2,2,1,0,0
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Entities,BaseItem,GetInternalMetadataPath(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,184,686,110,811,0,0,0,0,0,116,0,0,369,322,0,0,0,0,0,0,0,1,5,6
