Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Attachments,AttachmentExtractor,"GetReadableFile(string mediaPath, string inputFile, MediaSourceInfo mediaSource, MediaAttachment mediaAttachment, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,25,80,3,148,0,0,0,0,0,8,0,0,8,3,0,0,0,0,5,2,2,2,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Attachments,AttachmentExtractor,Dispose(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,25,80,3,148,0,0,0,0,0,8,0,0,8,3,0,0,0,0,0,2,2,1,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Attachments,AttachmentExtractor,Dispose(bool disposing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,25,80,3,148,0,0,0,0,0,8,0,0,8,3,0,0,0,0,1,0,0,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Configuration,EncodingConfigurationFactory,GetConfigurations(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,80,1,148,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,EncoderValidator,GetCodecs(Codec codec),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,25,80,4,148,0,0,0,0,0,10,0,0,53,23,0,0,0,0,1,2,2,1,0,6
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,MediaEncoder,"StopProcess(ProcessWrapper process, int waitTimeMs)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,25,80,14,148,0,0,0,0,0,36,0,0,53,23,0,0,0,0,2,3,2.5,0,6,17
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,MediaEncoder,StopProcesses(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,25,80,14,148,0,0,0,0,0,36,0,0,53,23,0,0,0,0,0,2,2,1,6,17
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,NormalizeFormat(string format),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,25,80,22,148,0,0,0,0,0,34,0,0,39,27,0,0,0,0,1,2,2,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,"GetMediaStream(bool isAudio, MediaStreamInfo streamInfo, MediaFormatInfo formatInfo)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,25,80,22,148,0,0,0,0,0,34,0,0,39,27,0,0,0,0,3,3,2.025,12,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,ParseChannelLayout(string input),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,25,80,22,148,0,0,0,0,0,34,0,0,39,27,0,0,0,0,1,2,2,0,1,7
