Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,AudioOptions,GetMaxBitrate(bool isAudio),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,1,154,0,0,0,0,0,1,0,0,119,108,0,0,0,0,1,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ConditionProcessor,"IsVideoConditionSatisfied(ProfileCondition condition, int? width, int? height, int? videoBitDepth, int? videoBitrate, string? videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TransportStreamTimestamp? timestamp, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string? videoCodecTag, bool? isAvc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,9,154,0,0,0,0,0,9,0,0,119,108,0,0,0,0,17,0,0,16,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ConditionProcessor,"IsImageConditionSatisfied(ProfileCondition condition, int? width, int? height)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,9,154,0,0,0,0,0,9,0,0,119,108,0,0,0,0,3,0,0,2,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ContentFeatureBuilder,"BuildVideoHeader(string container, string videoCodec, string audioCodec, int? width, int? height, int? bitDepth, int? videoBitrate, TransportStreamTimestamp timestamp, bool isDirectStream, long? runtimeTicks, string videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TranscodeSeekInfo transcodeSeekInfo, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string videoCodecTag, bool? isAvc)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,195,139,3,154,0,0,0,0,0,6,0,0,119,108,0,0,0,0,22,3,2.076923076923077,1,0,1
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,DeviceProfile,GetModelProfileCondition(ProfileCondition c),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,7,154,0,0,0,0,0,7,0,0,119,108,0,0,0,0,1,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,MediaFormatProfileResolver,"ResolveImageFormat(string container, int? width, int? height)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,15,154,0,0,0,0,0,15,0,0,119,108,0,0,0,0,3,2,2,2,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,MediaFormatProfileResolver,"ResolveImagePNGFormat(int? width, int? height)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,15,154,0,0,0,0,0,15,0,0,119,108,0,0,0,0,2,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamBuilder,GetMaxAudioBitrateForTotalBitrate(long totalBitrate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,195,139,21,154,0,0,0,0,0,28,0,0,119,108,0,0,0,0,1,0,0,0,0,2
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamBuilder,"ApplyTranscodingConditions(StreamInfo item, IEnumerable<ProfileCondition> conditions, string qualifier, bool enableQualifiedConditions, bool enableNonQualifiedConditions)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,195,139,21,154,0,0,0,0,0,28,0,0,119,108,0,0,0,0,5,2,2,0,0,2
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamInfo,"GetOption(string qualifier, string name)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,22,154,0,0,0,0,0,22,0,0,119,108,0,0,0,0,2,2,2,2,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamInfo,GetOption(string name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,22,154,0,0,0,0,0,22,0,0,119,108,0,0,0,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamInfo,GetSelectableStreams(MediaStreamType type),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,195,139,22,154,0,0,0,0,0,22,0,0,119,108,0,0,0,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Extensions,StringHelper,FirstToUpper(string str),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195,139,1,154,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Net,MimeTypes,GetMimeType(string path),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,195,139,1,154,0,0,0,0,0,4,0,0,4,1,0,0,0,0,1,0,0,1,0,3
Long Method,MediaBrowser.Model,MediaBrowser.Model.Net,MimeTypes,"GetMimeType(string path, bool enableStreamDefault)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,195,139,1,154,0,0,0,0,0,4,0,0,4,1,0,0,0,0,2,2,2,0,0,3
Long Method,MediaBrowser.Model,MediaBrowser.Model.Notifications,NotificationOptions,"IsServiceEnabled(string service, string notificationType)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,139,5,154,0,0,0,0,0,5,0,0,5,5,0,0,0,0,2,3,3,1,0,0
