Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ItemImageProvider,"SaveImageStub(BaseItem item, ImageType imageType, IEnumerable<string> urls)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,103,264,8,430,0,0,0,0,0,15,0,0,113,64,0,0,0,0,3,2,2,1,0,4
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ItemImageProvider,"SaveImageStub(BaseItem item, ImageType imageType, IEnumerable<string> urls, int newIndex)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,103,264,8,430,0,0,0,0,0,15,0,0,113,64,0,0,0,0,4,2,2,0,0,4
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"ApplySearchResult(ItemLookupInfo lookupInfo, RemoteSearchResult result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,29,430,0,0,0,0,0,29,0,0,113,64,0,0,0,0,2,0,0,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"SavePeopleMetadataAsync(List<PersonInfo> people, LibraryOptions libraryOptions, CancellationToken cancellationToken)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,29,430,0,0,0,0,0,29,0,0,113,64,0,0,0,0,3,2,2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,GetChildrenForMetadataUpdates(TItemType item),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,29,430,0,0,0,0,0,29,0,0,113,64,0,0,0,0,1,2,2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"GetNonLocalImageProviders(BaseItem item, IEnumerable<IImageProvider> allImageProviders, ImageRefreshOptions options)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,29,430,0,0,0,0,0,29,0,0,113,64,0,0,0,0,3,2,2,1,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"ExecuteRemoteProviders(MetadataResult<TItemType> temp, string logName, TIdType id, IEnumerable<IRemoteMetadataProvider<TItemType, TIdType>> providers, CancellationToken cancellationToken)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103,264,29,430,0,0,0,0,0,29,0,0,113,64,0,0,0,0,5,2,2,3,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetImages(BaseItem item, IRemoteImageProvider provider, IReadOnlyCollection<string> preferredLanguages, CancellationToken cancellationToken, ImageType? type = null)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,103,264,16,430,0,0,0,0,0,49,0,0,113,64,0,0,0,0,5,2,2,0,6,19
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetRemoteSearchResults(RemoteSearchQuery<TLookupType> searchInfo, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,103,264,16,430,0,0,0,0,0,49,0,0,113,64,0,0,0,0,2,3,2.5,0,6,19
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetRemoteSearchResults(RemoteSearchQuery<TLookupType> searchInfo, BaseItem referenceItem, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,103,264,16,430,0,0,0,0,0,49,0,0,113,64,0,0,0,0,3,3,2.1578947368421053,1,6,19
