Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Configuration,NfoConfigurationFactory,GetConfigurations(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,74,1,93,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,BaseNfoParser,"Fetch(MetadataResult<T> item, string metadataFile, CancellationToken cancellationToken)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,74,9,93,0,0,0,0,0,11,0,0,17,15,0,0,0,0,3,2,2,2,1,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,BaseNfoParser,"Fetch(MetadataResult<T> item, string metadataFile, XmlReaderSettings settings, CancellationToken cancellationToken)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,74,9,93,0,0,0,0,0,11,0,0,17,15,0,0,0,0,4,2,2,4,1,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,BaseNfoParser,"ParseProviderLinks(T item, string xml)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,74,9,93,0,0,0,0,0,11,0,0,17,15,0,0,0,0,2,2,2,0,1,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,BaseNfoParser,"FetchDataFromXmlNode(XmlReader reader, MetadataResult<T> itemResult)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,74,9,93,0,0,0,0,0,11,0,0,17,15,0,0,0,0,2,3,2.0078125,4,1,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,BaseNfoParser,"FetchFromFileInfoNode(XmlReader reader, T item)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,74,9,93,0,0,0,0,0,11,0,0,17,15,0,0,0,0,2,2,2,1,1,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,SeasonNfoParser,"FetchDataFromXmlNode(XmlReader reader, MetadataResult<Season> itemResult)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,74,1,93,0,0,0,0,0,1,0,0,17,15,0,0,0,0,2,2,2,0,0,0
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Parsers,SeriesNfoParser,"FetchDataFromXmlNode(XmlReader reader, MetadataResult<Series> itemResult)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,74,1,93,0,0,0,0,0,1,0,0,17,15,0,0,0,0,2,2,2,0,0,0
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Savers,BaseNfoSaver,"AddCommonNodes(BaseItem item, XmlWriter writer, ILibraryManager libraryManager, IUserManager userManager, IUserDataManager userDataRepo, IServerConfigurationManager config)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,25,74,16,93,0,0,0,0,0,21,0,0,54,48,0,0,0,0,6,4,2.2,9,0,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Savers,BaseNfoSaver,"AddActors(List<PersonInfo> people, XmlWriter writer, ILibraryManager libraryManager, bool saveImagePath)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,25,74,16,93,0,0,0,0,0,21,0,0,54,48,0,0,0,0,4,4,2.1538461538461537,3,0,2
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Savers,MovieNfoSaver,GetTagsUsed(BaseItem item),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,74,6,93,0,0,0,0,0,6,0,0,54,48,0,0,0,0,1,2,2,0,0,0
Long Method,MediaBrowser.XbmcMetadata,MediaBrowser.XbmcMetadata.Savers,SeasonNfoSaver,"WriteCustomElements(BaseItem item, XmlWriter writer)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,74,5,93,0,0,0,0,0,5,0,0,54,48,0,0,0,0,2,4,3,0,0,0
