Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MonoGame.Effect.Compiler,MonoGame.Effect,CommandLineParser,"SetOption(FieldInfo field, string value)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,74,326,6,506,0,0,0,0,0,11,0,0,157,122,0,0,0,0,2,2,2,7,5,0
Long Method,MonoGame.Effect.Compiler,MonoGame.Effect,CommandLineParser,"GetOptionNameAndDescription(FieldInfo field, out String description)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,74,326,6,506,0,0,0,0,0,11,0,0,157,122,0,0,0,0,2,0,0,0,5,0
Long Method,MonoGame.Effect.Compiler,MonoGame.Effect,OpenGLShaderProfile,ValidateShaderModels(PassInfo pass),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,74,326,2,506,0,0,0,0,0,3,0,0,157,122,0,0,0,0,1,2,2,0,0,2
Long Method,MonoGame.Effect.Compiler,MonoGame.Effect,OpenGLShaderProfile,"CreateShader(ShaderResult shaderResult, string shaderFunction, string shaderProfile, bool isVertexShader, EffectObject effect, ref string errorsAndWarnings)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,74,326,2,506,0,0,0,0,0,3,0,0,157,122,0,0,0,0,6,3,2.25,0,0,2
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingBox box),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref BoundingBox box, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,2,2,2,0,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingFrustum frustum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingSphere sphere),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref BoundingSphere sphere, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,2,2,2,0,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,Contains(Vector3 point),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Effect.Compiler,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref Vector3 point, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,74,326,15,506,0,0,0,0,0,26,0,0,47,35,0,0,0,0,2,2,2,0,1,3
