Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Audio,AudioFormat,ConstructNativeWaveFormat(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,272,553,0,877,0,0,0,0,0,1,0,0,19,14,0,0,0,0,0,2,2,0,7,0
Long Method,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Audio,DefaultAudioProfile,"ConvertStreamingAudio(TargetPlatform platform, ConversionQuality quality, AudioContent content, ref string outputFileName)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,272,553,8,877,0,0,0,0,0,8,0,0,19,14,0,0,0,0,4,2,2,1,0,0
Long Method,MonoGame.Framework.Content.Pipeline,Microsoft.Xna.Framework.Content.Pipeline.Builder.Convertors,StringToColorConverter,"ConvertFrom(ITypeDescriptorContext context, System.Globalization.CultureInfo culture, object value)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272,553,4,877,0,0,0,0,0,4,0,0,4,4,0,0,0,0,3,2,2,0,0,0
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineBuildEvent,"NeedsRebuild(PipelineManager manager, PipelineBuildEvent cachedEvent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,272,553,5,877,0,0,0,0,0,6,0,0,55,33,0,0,0,0,2,2,2,1,0,1
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineManager,"CreateProcessor(string name, OpaqueDataDictionary processorParameters)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,272,553,13,877,0,0,0,0,0,29,0,0,55,33,0,0,0,0,2,3,2.2,1,4,6
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineManager,GetProcessorDefaultValues(string processorName),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,272,553,13,877,0,0,0,0,0,29,0,0,55,33,0,0,0,0,1,2,2,1,4,6
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineManager,"BuildContent(string sourceFilepath, string outputFilepath = null, string importerName = null, string processorName = null, OpaqueDataDictionary processorParameters = null)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,272,553,13,877,0,0,0,0,0,29,0,0,55,33,0,0,0,0,5,2,2,5,4,6
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineManager,"BuildContent(PipelineBuildEvent pipelineEvent, PipelineBuildEvent cachedEvent, string eventFilepath)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,272,553,13,877,0,0,0,0,0,29,0,0,55,33,0,0,0,0,3,2,2,7,4,6
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineManager,"GetAssetName(string sourceFileName, string importerName, string processorName, OpaqueDataDictionary processorParameters)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,272,553,13,877,0,0,0,0,0,29,0,0,55,33,0,0,0,0,4,2,2,3,4,6
Long Method,MonoGame.Framework.Content.Pipeline,MonoGame.Framework.Content.Pipeline.Builder,PipelineProcessorContext,"BuildAndLoadAsset(ExternalReference<TInput> sourceAsset, string processorName, OpaqueDataDictionary processorParameters, string importerName)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,272,553,0,877,0,0,0,0,0,5,0,0,55,33,0,0,0,0,4,3,2.1666666666666665,0,0,2
