Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,AudioEngine,"ReadNullTerminatedStrings(uint count, BinaryReader reader)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,362,914,4,1863,0,0,0,0,0,11,0,0,215,79,0,0,0,0,2,2,2,0,3,9
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,AudioEngine,Update(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,362,914,4,1863,0,0,0,0,0,11,0,0,215,79,0,0,0,0,0,2,2,0,3,9
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,Cue,Play(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,362,914,2,1863,0,0,0,0,0,13,0,0,215,79,0,0,0,0,0,3,2.75,1,3,8
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,PlayWaveEvent,Stop(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,362,914,1,1863,0,0,0,0,0,11,0,0,215,79,0,0,0,0,0,2,2,0,11,22
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundBank,GetCue(string name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,362,914,2,1863,0,0,0,0,0,6,0,0,215,79,0,0,0,0,1,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundBank,PlayCue(string name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,362,914,2,1863,0,0,0,0,0,6,0,0,215,79,0,0,0,0,1,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,SoundBank,"PlayCue(string name, AudioListener listener, AudioEmitter emitter)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,362,914,2,1863,0,0,0,0,0,6,0,0,215,79,0,0,0,0,3,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,"Play(float volume, AudioEngine engine)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,362,914,0,1863,0,0,0,0,0,10,0,0,215,79,0,0,0,0,2,2,2,3,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,Update(float dt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,362,914,0,1863,0,0,0,0,0,10,0,0,215,79,0,0,0,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,UpdateCategoryVolume(float categoryVolume),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,362,914,0,1863,0,0,0,0,0,10,0,0,215,79,0,0,0,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Audio,XactSound,SetCuePan(float pan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,362,914,0,1863,0,0,0,0,0,10,0,0,215,79,0,0,0,0,1,2,2,0,7,16
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingBox box),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref BoundingBox box, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,2,2,2,0,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingFrustum frustum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,Contains(BoundingSphere sphere),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref BoundingSphere sphere, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,2,2,2,0,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,Contains(Vector3 point),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,1,2,2,1,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework,BoundingFrustum,"Contains(ref Vector3 point, out ContainmentType result)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,362,914,15,1863,0,0,0,0,0,26,0,0,327,202,0,0,0,0,2,2,2,0,1,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ContentReader,ReadSharedResource(Action<T> fixup),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,362,914,17,1863,0,0,0,0,0,24,0,0,140,88,0,0,0,0,1,2,2,1,8,6
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,BasicEffectReader,"Read(ContentReader input, BasicEffect existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,CurveReader,"Read(ContentReader input, Curve existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,3,2.111111111111111,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,MatrixReader,"Read(ContentReader input, Matrix existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ModelReader,"ReadBoneReference(ContentReader reader, uint boneCount)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,2,1863,0,0,0,0,0,2,0,0,140,88,0,0,0,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,ReflectiveReader,"Read(ContentReader input, object existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,362,914,1,1863,0,0,0,0,0,3,0,0,140,88,0,0,0,0,2,2,2,0,3,3
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,SoundEffectReader,"Read(ContentReader input, SoundEffect existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,3,2.2222222222222223,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,Texture2DReader,"Read(ContentReader reader, Texture2D existingInstance)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,4,2.121212121212121,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,Texture3DReader,"Read(ContentReader reader, Texture3D existingInstance)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,3,2.1333333333333333,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,VideoReader,"Read(ContentReader input, Video existingInstance)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,362,914,1,1863,0,0,0,0,0,1,0,0,140,88,0,0,0,0,2,2,2,0,0,0
Long Method,MonoGame.Framework.iOS,Microsoft.Xna.Framework.Content,LzxDecoder,"ReadLengths(byte[] lens, uint first, uint last, BitBuffer bitbuf)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,362,914,3,1863,0,0,0,0,0,11,0,0,140,88,0,0,0,0,4,2,2,3,1,1
