Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,OpenRA.Game,OpenRA,Actor,Bounds(WorldRenderer wr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,120,316,665,8,1592,0,0,0,0,0,39,0,0,731,350,0,0,0,0,1,2,2,0,8,0
Long Method,OpenRA.Game,OpenRA,Actor,MouseBounds(WorldRenderer wr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,120,316,665,8,1592,0,0,0,0,0,39,0,0,731,350,0,0,0,0,1,2,2,0,8,0
Long Method,OpenRA.Game,OpenRA,CryptoUtil,EncodePublicKey(RSAParameters parameters),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,316,665,14,1592,0,0,0,0,0,15,0,0,731,350,0,0,0,0,1,2,2,9,0,0
Long Method,OpenRA.Game,OpenRA,Exts,"ISqrt(int number, ISqrtRoundMode round = ISqrtRoundMode.Floor)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,2,2,2,1,0,0
Long Method,OpenRA.Game,OpenRA,Exts,"ISqrt(uint number, ISqrtRoundMode round = ISqrtRoundMode.Floor)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,2,0,0,0,0,0
Long Method,OpenRA.Game,OpenRA,Exts,"ISqrt(long number, ISqrtRoundMode round = ISqrtRoundMode.Floor)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,2,2,2,1,0,0
Long Method,OpenRA.Game,OpenRA,Exts,"ISqrt(ulong number, ISqrtRoundMode round = ISqrtRoundMode.Floor)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,2,0,0,0,0,0
Long Method,OpenRA.Game,OpenRA,Exts,FirstEnabledTraitOrDefault(this IEnumerable<T> ts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,1,2,2,0,0,0
Long Method,OpenRA.Game,OpenRA,Exts,FirstEnabledTraitOrDefault(this T[] ts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,316,665,54,1592,0,0,0,0,0,54,0,0,731,350,0,0,0,0,1,2,2,0,0,0
Long Method,OpenRA.Game,OpenRA,FieldLoader,"TryGetValueFromYaml(string yamlName, FieldInfo field, Dictionary<string, MiniYaml> md, out object ret)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,120,316,665,6,1592,0,0,0,0,0,14,0,0,731,350,0,0,0,0,4,2,2,1,0,0
Long Method,OpenRA.Game,OpenRA.FileFormats,Png,"Paeth(byte a, byte b, byte c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,316,665,5,1592,0,0,0,0,0,7,0,0,10,6,0,0,0,0,3,2,2,0,1,0
Long Method,OpenRA.Game,OpenRA.FileFormats,Png,Save(),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,316,665,5,1592,0,0,0,0,0,7,0,0,10,6,0,0,0,0,0,3,2.0476190476190474,6,1,0
Long Method,OpenRA.Game,OpenRA.FileFormats,Png,Save(string path),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,316,665,5,1592,0,0,0,0,0,7,0,0,10,6,0,0,0,0,1,2,2,1,1,0
Long Method,OpenRA.Game,OpenRA.FileSystem,ZipFileLoader,"TryParseReadWritePackage(string filename, out IReadWritePackage package)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,316,665,4,1592,0,0,0,0,0,15,0,0,48,13,0,0,0,0,2,2,2,0,0,0
Long Method,OpenRA.Game,OpenRA,Game,"StartGame(string mapUID, WorldType type)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,120,316,665,11,1592,0,0,0,0,0,48,0,0,731,350,0,0,0,0,2,3,2.111111111111111,0,0,0
Long Method,OpenRA.Game,OpenRA,Game,"SwitchToExternalMod(ExternalMod mod, string[] launchArguments = null, Action onFailed = null)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,120,316,665,11,1592,0,0,0,0,0,48,0,0,731,350,0,0,0,0,3,3,2.125,1,0,0
