Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.AudioLoaders,VocFormat,GetSampleRateFromVocRate(int vocSampleRate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,220,304,8,672,0,0,0,0,0,16,0,0,27,15,0,0,0,0,1,0,0,0,4,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,BlowfishKeyProvider,"InitTwoDw(uint[] n, uint len)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,220,304,20,672,0,0,0,0,0,26,0,0,59,42,0,0,0,0,2,2,2,11,10,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,LZOCompression,"LZO1xDecompress(byte* @in, uint inLen, byte* @out, ref uint outLen, void* wrkmem)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,220,304,4,672,0,0,0,0,0,4,0,0,59,42,0,0,0,0,5,0,0,2,0,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.FileFormats,XccLocalDatabase,Data(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,220,304,0,672,0,0,0,0,0,1,0,0,59,42,0,0,0,0,0,3,2.1538461538461537,0,0,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Graphics,VoxelLoader,RefreshBuffer(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,220,304,2,672,0,0,0,0,0,9,0,0,24,7,0,0,0,0,0,3,2.25,0,4,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Scripting,ChronosphereProperties,"Chronoshift(LuaTable unitLocationPairs, int duration = 0, bool killCargo = false)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,220,304,1,672,0,0,0,0,0,1,0,0,4,1,0,0,0,0,3,3,2.4444444444444446,0,0,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.SpriteLoaders,ShpTDLoader,"TryParseSprite(Stream s, out ISpriteFrame[] frames, out TypeDictionary metadata)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,220,304,2,672,0,0,0,0,0,2,0,0,20,16,0,0,0,0,3,3,3,1,0,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,AttackTesla,"CanAttack(Actor self, in Target target)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,220,304,3,672,0,0,0,0,0,9,0,0,352,139,0,0,0,0,2,2,2,0,2,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,ClonesProducedUnits,"UnitProducedByOther(Actor self, Actor producer, Actor produced, string productionType, TypeDictionary init)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,220,304,0,672,0,0,0,0,0,1,0,0,352,139,0,0,0,0,5,4,2.625,0,0,0
Long Method,OpenRA.Mods.Cnc,OpenRA.Mods.Cnc.Traits,Disguise,"HandleDisguise(ActorInfo oldEffectiveActor, Player oldEffectiveOwner, bool oldDisguiseSetting)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,114,220,304,5,672,0,0,0,0,0,14,0,0,352,139,0,0,0,0,3,3,2.142857142857143,0,3,0
