Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,FlyOffMap,OnFirstRun(Actor self),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,1588,1903,0,4624,0,0,0,0,0,2,0,0,180,32,0,0,0,0,1,4,4,0,1,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,ReturnToBase,TargetLineNodes(Actor self),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,1588,1903,1,4624,0,0,0,0,0,4,0,0,180,32,0,0,0,0,1,2,2,0,2,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,Attack,"DoAttack(Actor self, AttackFrontal attack, IEnumerable<Armament> armaments)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,1588,1903,0,4624,0,0,0,0,0,6,0,0,180,32,0,0,0,0,3,2,2,0,10,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Activities,MoveAdjacentTo,Tick(Actor self),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,1588,1903,2,4624,0,0,0,0,0,8,0,0,180,32,0,0,0,0,1,4,2.2857142857142856,3,6,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Commands,PlayerCommands,"InvokeCommand(string name, string arg)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1588,1903,0,4624,0,0,0,0,0,2,0,0,13,3,0,0,0,0,2,2,2,0,1,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Widgets,EditorCopyPasteBrush,"Copy(CellRegion source, CVec offset)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,1588,1903,0,4624,0,0,0,0,0,4,0,0,379,109,0,0,0,0,2,2,2,0,3,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Widgets,EditorTileBrush,"PlacementOverlapsSameTemplate(TerrainTemplateInfo template, CPos cell)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,83,1588,1903,1,4624,0,0,0,0,0,6,0,0,379,109,0,0,0,0,2,2,2,0,1,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Widgets,PaintTileEditorAction,Do(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83,1588,1903,1,4624,0,0,0,0,0,3,0,0,379,109,0,0,0,0,0,3,2.1666666666666665,0,0,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.Effects,RallyPointIndicator,RenderInner(WorldRenderer wr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1588,1903,1,4624,0,0,0,0,0,6,0,0,34,9,0,0,0,0,1,2,2,0,2,0
Long Method,OpenRA.Mods.Common,OpenRA.Mods.Common.FileFormats,InstallShieldCABCompression,"ExtractFile(string filename, Stream output, Action<int> onProgress = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1588,1903,0,4624,0,0,0,0,0,5,0,0,43,12,0,0,0,0,3,2,2,1,0,0
