Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,RSSDP,Rssdp.Infrastructure,DisposableManagedObjectBase,"BuildMessage(string header, Dictionary<string, string> values)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,59,4,101,0,0,0,0,0,4,0,0,94,54,0,0,0,0,2,2,2,0,0,0
Long Method,RSSDP,Rssdp.Infrastructure,HttpParserBase,ParseHttpVersion(string versionData),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,19,59,7,101,0,0,0,0,0,9,0,0,94,54,0,0,0,0,1,2,2,0,0,2
Long Method,RSSDP,Rssdp.Infrastructure,HttpRequestParser,Parse(string data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,19,59,2,101,0,0,0,0,0,3,0,0,94,54,0,0,0,0,1,2,2,0,0,1
Long Method,RSSDP,Rssdp.Infrastructure,SsdpCommunicationsServer,StopListeningForBroadcasts(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,19,59,7,101,0,0,0,0,0,17,0,0,94,54,0,0,0,0,0,2,2,0,10,13
Long Method,RSSDP,Rssdp.Infrastructure,SsdpCommunicationsServer,"SendMessage(byte[] messageData, IPEndPoint destination, IPAddress fromLocalIpAddress, CancellationToken cancellationToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,19,59,7,101,0,0,0,0,0,17,0,0,94,54,0,0,0,0,4,2,2,2,10,13
Long Method,RSSDP,Rssdp.Infrastructure,SsdpCommunicationsServer,StopListeningForResponses(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,19,59,7,101,0,0,0,0,0,17,0,0,94,54,0,0,0,0,0,2,2,0,10,13
Long Method,RSSDP,Rssdp,SsdpDevice,AddDevice(SsdpEmbeddedDevice device),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,19,59,3,101,0,0,0,0,0,5,0,0,7,5,0,0,0,0,1,2,2,3,5,5
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDeviceLocator,"RestartBroadcastTimer(TimeSpan dueTime, TimeSpan period)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,59,20,101,0,0,0,0,0,32,0,0,94,54,0,0,0,0,2,2,2,0,4,6
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDeviceLocator,NotificationTypeMatchesFilter(DiscoveredSsdpDevice device),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,59,20,101,0,0,0,0,0,32,0,0,94,54,0,0,0,0,1,2,2,0,4,6
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDeviceLocator,"ProcessAliveNotification(HttpRequestMessage message, IPAddress localIpAddress)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,59,20,101,0,0,0,0,0,32,0,0,94,54,0,0,0,0,2,0,0,5,4,6
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDevicePublisher,DisposeRebroadcastTimer(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,19,59,9,101,0,0,0,0,0,23,0,0,94,54,0,0,0,0,0,2,2,0,10,12
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDevicePublisher,WriteTrace(string text),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,19,59,9,101,0,0,0,0,0,23,0,0,94,54,0,0,0,0,1,0,0,0,10,12
Long Method,RSSDP,Rssdp.Infrastructure,SsdpDevicePublisher,"WriteTrace(string text, SsdpDevice device)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,19,59,9,101,0,0,0,0,0,23,0,0,94,54,0,0,0,0,2,0,0,2,10,12
