Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,HotkeySelectionButton,StopEditing(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,12,1642,0,0,0,0,0,12,0,0,1642,1226,0,0,0,0,0,0,0,2,0,0
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,HotkeySelectionButton,OnKeyDown(KeyEventArgs kevent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,12,1642,0,0,0,0,0,12,0,0,1642,1226,0,0,0,0,1,2,2,4,0,0
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,HotkeySelectionButton,OnHotkeyChanged(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,12,1642,0,0,0,0,0,12,0,0,1642,1226,0,0,0,0,0,0,0,0,0,0
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,ToolStripEx,WndProc(ref Message m),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,232,1226,0,1642,0,0,0,0,0,1,0,0,1642,1226,0,0,0,0,1,2,2,0,1,1
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,JsonHelpers,"Deserialize(TextReader textReader, ISerializationBinder serializationBinder = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1226,10,1642,0,0,0,0,0,10,0,0,1642,1226,0,0,0,0,2,3,2.5,0,0,0
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,ImageFilesCache,"GetFileIconAsImage(string filePath, bool isSmallIcon = true)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,232,1226,0,1642,0,0,0,0,0,4,0,0,1642,1226,0,0,0,0,2,2,2,0,1,1
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,RandomFast,Next(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,231,232,1226,2,1642,0,0,0,0,0,7,0,0,1642,1226,0,0,0,0,0,2,2,0,0,2
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,RandomFast,Next(int maxValue),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,231,232,1226,2,1642,0,0,0,0,0,7,0,0,1642,1226,0,0,0,0,1,2,2,0,0,2
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,RandomFast,"Next(int minValue, int maxValue)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,231,232,1226,2,1642,0,0,0,0,0,7,0,0,1642,1226,0,0,0,0,2,2,2,0,0,2
Long Method,ShareX.HelpersLib,ShareX.HelpersLib,DPAPIEncryptedStringValueProvider,"SetValue(object target, object value)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,231,232,1226,0,1642,0,0,0,0,0,2,0,0,1642,1226,0,0,0,0,2,2,2,0,1,2
