Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,StickerImageListViewRenderer,"DrawItem(Graphics g, ImageListViewItem item, ItemState state, Rectangle bounds)",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,2,643,0,0,0,0,0,2,0,0,643,399,0,0,0,0,4,2,2,0,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,CropTool,OnDraw(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,85,399,4,643,0,0,0,0,0,7,0,0,643,399,0,0,0,0,1,2,2,0,4,3
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,SpeechBalloonDrawingShape,DrawSpeechBalloon(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,8,643,0,0,0,0,0,9,0,0,643,399,0,0,0,0,1,2,2,3,1,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,SpeechBalloonDrawingShape,"DrawSpeechBalloon(Graphics g, Color borderColor, int borderSize, Color fillColor, Rectangle rect, Point tailPosition)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,8,643,0,0,0,0,0,9,0,0,643,399,0,0,0,0,6,2,2,1,1,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,BaseDrawingShape,OnConfigSave(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,3,643,0,0,0,0,0,3,0,0,643,399,0,0,0,0,0,0,0,0,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,StepDrawingShape,DrawNumber(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,85,399,13,643,0,0,0,0,0,14,0,0,643,399,0,0,0,0,1,2,2,4,1,2
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,StepDrawingShape,"DrawNumber(Graphics g, string text, Font font, Color textColor, Rectangle rect)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,85,399,13,643,0,0,0,0,0,14,0,0,643,399,0,0,0,0,5,2,2,0,1,2
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,EllipseDrawingShape,DrawEllipse(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,4,643,0,0,0,0,0,4,0,0,643,399,0,0,0,0,1,2,2,3,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,EllipseDrawingShape,"DrawEllipse(Graphics g, Color borderColor, int borderSize, BorderStyle borderStyle, Color fillColor, Rectangle rect)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,4,643,0,0,0,0,0,4,0,0,643,399,0,0,0,0,6,2,2,0,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,LineDrawingShape,AutoPositionCenterPoints(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,14,643,0,0,0,0,0,16,0,0,643,399,0,0,0,0,0,2,2,0,0,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,LineDrawingShape,DrawLine(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,14,643,0,0,0,0,0,16,0,0,643,399,0,0,0,0,1,2,2,2,0,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,LineDrawingShape,"DrawLine(Graphics g, Color borderColor, int borderSize, BorderStyle borderStyle, Point[] points)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,14,643,0,0,0,0,0,16,0,0,643,399,0,0,0,0,5,2,2,1,0,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,LineDrawingShape,OnNodeUpdate(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,14,643,0,0,0,0,0,16,0,0,643,399,0,0,0,0,0,0,0,0,0,1
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RectangleDrawingShape,DrawRectangle(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,6,643,0,0,0,0,0,6,0,0,643,399,0,0,0,0,1,2,2,3,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RectangleDrawingShape,"DrawRectangle(Graphics g, Color borderColor, int borderSize, BorderStyle borderStyle, Color fillColor, Rectangle rect, int cornerRadius)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,85,399,6,643,0,0,0,0,0,6,0,0,643,399,0,0,0,0,7,2,2,0,0,0
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,BaseEffectShape,OnUpdate(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,9,643,0,0,0,0,0,16,0,0,643,399,0,0,0,0,0,2,2,1,5,2
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RegionCaptureLightForm,Dispose(bool disposing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,85,399,4,643,0,0,0,0,0,10,0,0,643,399,0,0,0,0,1,2,2,0,9,8
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RegionCaptureForm,SetHandCursor(bool grabbing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,85,399,31,643,0,0,0,0,0,60,0,0,643,399,0,0,0,0,1,0,0,0,39,12
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RegionCaptureForm,"RegionCaptureForm_Shown(object sender, EventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,85,399,31,643,0,0,0,0,0,60,0,0,643,399,0,0,0,0,2,2,2,2,39,12
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RegionCaptureForm,CloseWindow(RegionResult result = RegionResult.Close),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,85,399,31,643,0,0,0,0,0,60,0,0,643,399,0,0,0,0,1,0,0,0,39,12
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,RegionCaptureForm,"DrawFPS(Graphics g, int offset)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,85,399,31,643,0,0,0,0,0,60,0,0,643,399,0,0,0,0,2,2,2,0,39,12
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,ResizeNode,OnDraw(Graphics g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,85,399,2,643,0,0,0,0,0,2,0,0,643,399,0,0,0,0,1,2,2,0,2,2
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,WindowsList,GetWindowsList(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,2,643,0,0,0,0,0,5,0,0,643,399,0,0,0,0,0,2,2,0,2,2
Long Method,ShareX.ScreenCaptureLib,ShareX.ScreenCaptureLib,WindowsRectangleList,GetWindowInfoListAsync(int timeout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,85,399,3,643,0,0,0,0,0,5,0,0,643,399,0,0,0,0,1,2,2,1,2,2
