Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,BoxFileUploaderService,"CreateUploader(UploadersConfig config, TaskReferenceHelper taskInfo)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,3,1275,0,0,0,0,0,3,0,0,352,235,0,0,0,0,2,0,0,0,0,0
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Box,RefreshAccessToken(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,9,1275,0,0,0,0,0,9,0,0,352,235,0,0,0,0,0,2,2,0,0,0
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Copy,"GetPublicURL(string path, CopyURLType urlType = CopyURLType.Default)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,185,442,696,4,1275,0,0,0,0,0,11,0,0,352,235,0,0,0,0,2,2,2,2,0,10
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Ge_tt,"Login(string email, string password)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,1,1275,0,0,0,0,0,4,0,0,352,235,0,0,0,0,2,2,2,0,0,1
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Hostr,"Upload(Stream stream, string fileName)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,1,1275,0,0,0,0,0,1,0,0,352,235,0,0,0,0,2,2,2,0,0,0
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,OneDrive,GetFolderUrl(string folderID),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,442,696,6,1275,0,0,0,0,0,10,0,0,352,235,0,0,0,0,1,2,2,0,0,3
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Seafile,ShareFile(string path),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,442,696,10,1275,0,0,0,0,0,10,0,0,352,235,0,0,0,0,1,2,2,0,0,0
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Streamable,TranscodeFile(UploadResult result),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,0,1275,0,0,0,0,0,2,0,0,352,235,0,0,0,0,1,2,2,0,0,1
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,SFTP,Disconnect(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,442,696,3,1275,0,0,0,0,0,10,0,0,352,235,0,0,0,0,0,2,2,0,1,1
Long Method,ShareX.UploadersLib,ShareX.UploadersLib.FileUploaders,Teknik,RefreshAccessToken(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,185,442,696,5,1275,0,0,0,0,0,5,0,0,352,235,0,0,0,0,0,2,2,0,0,0
