Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,ShareX,ShareX,TaskRoundedCornerPanel,OnPaint(PaintEventArgs e),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,116,599,2,1173,0,0,0,0,0,2,0,0,1173,599,0,0,0,0,1,2,2,0,1,1
Long Method,ShareX,ShareX,SettingManager,LoadHotkeysConfig(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,115,116,599,15,1173,0,0,0,0,0,20,0,0,1173,599,0,0,0,0,0,2,2,1,0,7
Long Method,ShareX,ShareX,SettingManager,Import(string archivePath),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,115,116,599,15,1173,0,0,0,0,0,20,0,0,1173,599,0,0,0,0,1,2,2,0,0,7
Long Method,ShareX,ShareX,DropForm,"DropForm_DragDrop(object sender, DragEventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,115,116,599,3,1173,0,0,0,0,0,9,0,0,1173,599,0,0,0,0,2,2,2,0,4,5
Long Method,ShareX,ShareX,QuickTaskInfo,ToString(),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,116,599,1,1173,0,0,0,0,0,1,0,0,1173,599,0,0,0,0,0,2,2,0,0,0
Long Method,ShareX,ShareX,NotificationForm,OnPaint(PaintEventArgs e),1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115,116,599,3,1173,0,0,0,0,0,12,0,0,1173,599,0,0,0,0,1,2,2,0,12,12
Long Method,ShareX,ShareX,NotificationForm,"NotificationForm_MouseEnter(object sender, EventArgs e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115,116,599,3,1173,0,0,0,0,0,12,0,0,1173,599,0,0,0,0,2,2,2,0,12,12
Long Method,ShareX,ShareX,NotificationForm,Dispose(bool disposing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,115,116,599,3,1173,0,0,0,0,0,12,0,0,1173,599,0,0,0,0,1,2,2,0,12,12
Long Method,ShareX,ShareX,HotkeyManager,ResetHotkeys(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,116,599,7,1173,0,0,0,0,0,11,0,0,1173,599,0,0,0,0,0,2,2,3,3,1
Long Method,ShareX,ShareX,RecentTaskManager,InitItems(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,115,116,599,3,1173,0,0,0,0,0,6,0,0,1173,599,0,0,0,0,0,4,4,2,1,2
