Code Smell,Project,Package,Complextype,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,Parameterizable,"ToSingleParameter(string propName, object value, PropertyInfo property)",1,1,1,0,0,2,41,7,5,5,1,1,10,1,1,6,0,2,1,1,0,17,11680,88,2,0,176,258,360,2,386,3,0,12,12,0.5,2,6,0,364,340,6648,13827,7996,0,3,2,2,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,ArticleService,ListAuthorsAsync(CancellationToken cancellationToken = default),0,0,0,0,0,0,7,1,3,3,1,1,5,1,1,1.7,0,12,1,11,0,75,11680,182,10,0,176,258,360,10,386,41,0,17,17,1,10,1.7,0,364,340,6648,13827,7996,0,1,0,0,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,ArticleService,"ListTagsAsync(int? popular = null, int? limit = null, CancellationToken cancellationToken = default)",0,0,0,0,1,1,17,3,5,5,1,1,8,1,1,1.7,0,12,1,11,0,75,11680,182,10,0,176,258,360,10,386,41,0,17,17,1,10,1.7,0,364,340,6648,13827,7996,0,3,3,3,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,AuthorizationService,IsValidShopDomainAsync(string url),1,1,1,0,0,4,26,2,8,8,1,1,11,1,1,2.1176470588235294,1,10,1,3,0.9375,130,11680,402,0,1,176,258,360,16,386,18,0,36,36,0.8823529411764706,17,2.25,0,364,340,6648,13827,7996,0,1,3,2.5714285714285716,0,0,1
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,AuthorizationService,"BuildAuthorizationUrl(IEnumerable<AuthorizationScope> scopes, string myShopifyUrl, string shopifyApiKey, string redirectUrl, string state = null, IEnumerable<string> grants = null)",1,1,1,0,0,0,4,1,7,7,0,0,7,0,0,2.1176470588235294,1,10,1,3,0.9375,130,11680,402,0,1,176,258,360,16,386,18,0,36,36,0.8823529411764706,17,2.25,0,364,340,6648,13827,7996,0,6,2,2,0,0,1
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,AuthorizationService,"BuildAuthorizationUrl(IEnumerable<string> scopes, string myShopifyUrl, string shopifyApiKey, string redirectUrl, string state = null, IEnumerable<string> grants = null)",1,1,1,0,0,2,31,5,9,9,1,1,12,1,1,2.1176470588235294,1,10,1,3,0.9375,130,11680,402,0,1,176,258,360,16,386,18,0,36,36,0.8823529411764706,17,2.25,0,364,340,6648,13827,7996,0,6,2,2,0,0,1
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,BlogService,"UpdateAsync(long blogId, Blog blog, IEnumerable<MetaField> metafields = null, CancellationToken cancellationToken = default)",0,0,0,0,1,1,18,3,8,8,2,2,14,2,1,1.5714285714285714,0,10,1,9,0,48,11680,109,7,0,176,258,360,7,386,39,0,11,11,1,7,1.5714285714285714,0,364,340,6648,13827,7996,0,4,2,2,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,CheckoutService,"UpdateAsync(string token, Checkout updatedCheckout, CancellationToken cancellationToken = default)",0,0,0,0,0,0,8,1,5,5,1,1,9,1,1,1,0,10,1,9,0,47,11680,100,8,0,176,258,360,8,386,40,0,8,8,1,8,1,0,364,340,6648,13827,7996,0,3,0,0,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,CustomCollectionService,"UpdateAsync(long customCollectionId, CustomCollection customCollection, CancellationToken cancellationToken = default)",0,0,0,0,1,0,11,1,6,6,1,1,11,1,1,1,0,8,1,7,0,44,11680,89,7,0,176,258,360,7,386,39,0,7,7,1,7,1,0,364,340,6648,13827,7996,0,3,0,0,0,0,0
Long Method,ShopifySharp(netcoreapp2.1),ShopifySharp,CustomerAddressService,"SetDefault(long customerId, long addressId, CancellationToken cancellationToken = default)",0,0,0,0,0,0,7,1,5,5,1,1,8,1,1,1.1666666666666667,0,8,1,8,0,54,11680,108,6,0,176,258,360,6,386,36,0,7,7,1,6,1.1666666666666667,0,364,340,6648,13827,7996,0,3,0,0,0,0,0
