Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,osu.Game,osu.Game.Beatmaps,BeatmapDifficultyCache,cancelTrackedBindableUpdate(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,1813,2800,7,6032,0,0,0,0,0,14,0,0,157,93,0,0,0,0,0,2,2,0,1,5
Long Method,osu.Game,osu.Game.Beatmaps.ControlPoints,ControlPointInfo,"binarySearch(IReadOnlyList<T> list, double time)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1813,2800,9,6032,0,0,0,0,0,14,0,0,37,29,0,0,0,0,2,0,0,0,0,5
Long Method,osu.Game,osu.Game.Beatmaps.ControlPoints,ControlPointInfo,groupItemRemoved(ControlPoint controlPoint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1813,2800,9,6032,0,0,0,0,0,14,0,0,37,29,0,0,0,0,1,2,2,0,0,5
Long Method,osu.Game,osu.Game.Beatmaps,DifficultyRecommender,fetchRecommendedValues(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,1813,2800,1,6032,0,0,0,0,0,4,0,0,157,93,0,0,0,0,0,3,2.25,0,1,3
Long Method,osu.Game,osu.Game.Beatmaps.Drawables,UpdateableBeatmapSetCover,updateCover(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1813,2800,1,6032,0,0,0,0,0,2,0,0,23,10,0,0,0,0,0,2,2,0,3,3
Long Method,osu.Game,osu.Game.Beatmaps.Formats,LegacyBeatmapDecoder,"ParseLine(Beatmap beatmap, Section section, string line)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1813,2800,4,6032,0,0,0,0,0,17,0,0,72,32,0,0,0,0,3,2,2,7,6,8
Long Method,osu.Game,osu.Game.Beatmaps.Formats,LegacyBeatmapDecoder,handleDifficulty(string line),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1813,2800,4,6032,0,0,0,0,0,17,0,0,72,32,0,0,0,0,1,2,2,0,6,8
Long Method,osu.Game,osu.Game.Beatmaps.Formats,LegacyBeatmapEncoder,handleColours(TextWriter writer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1813,2800,6,6032,0,0,0,0,0,17,0,0,72,32,0,0,0,0,1,2,2,0,0,2
Long Method,osu.Game,osu.Game.Beatmaps.Formats,LegacyBeatmapEncoder,getObjectType(HitObject hitObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1813,2800,6,6032,0,0,0,0,0,17,0,0,72,32,0,0,0,0,1,0,0,0,0,2
Long Method,osu.Game,osu.Game.Beatmaps.Formats,LegacyDecoder,"ParseStreamInto(LineBufferedReader stream, T output)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1813,2800,9,6032,0,0,0,0,0,12,0,0,72,32,0,0,0,0,2,2,2,3,0,0
